ID,Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
1,Inception,8.8,1,0,0,0,Action,148
2,The Matrix,8.7,1,0,0,0,Action,136
3,Avengers: Infinity War,8.5,1,0,0,0,Action,149
4,Back to the Future,8.5,1,0,0,0,Adventure,116
5,"The Good, the Bad and the Ugly",8.8,1,0,1,0,Western,161
6,Spider-Man: Into the Spider-Verse,8.4,1,0,0,0,Animation,117
7,The Pianist,8.5,1,0,1,0,Biography,150
8,Django Unchained,8.4,1,0,0,0,Drama,165
9,Raiders of the Lost Ark,8.4,1,0,0,0,Action,115
10,Inglourious Basterds,8.3,1,0,0,0,Adventure,153
11,Taxi Driver,8.3,1,0,0,0,Crime,114
12,3 Idiots,8.4,1,0,1,0,Comedy,170
13,Pan's Labyrinth,8.2,1,0,0,0,Drama,118
14,Room,8.1,1,0,0,0,Drama,118
15,Monty Python and the Holy Grail,8.2,1,0,0,0,Adventure,91
16,Once Upon a Time in the West,8.5,1,0,1,0,Western,165
17,Indiana Jones and the Last Crusade,8.2,1,0,0,0,Action,127
18,Groundhog Day,8,1,0,0,0,Comedy,101
19,The King's Speech,8,1,0,0,0,Biography,118
20,Her,8,1,0,0,0,Drama,126
21,There Will Be Blood,8.2,1,0,0,0,Drama,158
22,The Social Network,7.7,1,0,0,0,Biography,120
23,Dallas Buyers Club,8,1,0,0,0,Biography,117
24,The Perks of Being a Wallflower,8,1,0,0,0,Drama,103
25,Life of Brian,8.1,1,0,0,0,Comedy,94
26,Ex Machina,7.7,1,0,0,0,Drama,108
27,Silver Linings Playbook,7.7,1,0,0,0,Comedy,122
28,District 9,7.9,1,0,0,0,Action,112
29,The Irishman,7.9,1,0,0,0,Biography,209
30,Moon,7.9,1,0,0,0,Drama,97
31,Marriage Story,8,1,0,0,0,Comedy,137
32,Drive,7.8,1,0,1,0,Crime,100
33,Train to Busan,7.5,1,0,1,0,Action,118
34,Incredibles 2,7.6,1,0,0,0,Animation,118
35,Dangal,8.4,1,0,0,0,Action,161
36,Klaus,8.2,1,0,0,0,Animation,96
37,Minority Report,7.6,1,0,0,0,Action,145
38,Mystic River,7.9,1,0,0,0,Crime,138
39,Like Stars on Earth,8.4,1,0,0,0,Drama,165
40,Ferris Bueller's Day Off,7.8,1,0,0,0,Comedy,103
41,Despicable Me,7.6,1,0,0,0,Animation,95
42,Hell or High Water,7.6,1,0,0,0,Action,102
43,Sin City,8,1,0,0,0,Crime,124
44,Ip Man,8,1,0,0,0,Action,106
45,Indiana Jones and the Temple of Doom,7.6,1,0,0,0,Action,118
46,The Theory of Everything,7.7,1,0,0,0,Biography,123
47,The Pursuit of Happyness,8,1,0,0,0,Biography,117
48,Senna,8.5,1,0,0,0,Documentary,106
49,Scott Pilgrim vs. the World,7.5,1,0,0,0,Action,112
50,Magnolia,8,1,0,0,0,Drama,188
51,The Hateful Eight,7.8,1,0,0,0,Crime,168
52,The Artist,7.9,1,0,0,0,Comedy,100
53,Moonlight,7.4,1,0,0,0,Drama,111
54,Back to the Future Part II,7.8,1,0,0,0,Adventure,108
55,Willy Wonka & the Chocolate Factory,7.8,1,0,0,0,Family,100
56,What's Eating Gilbert Grape,7.8,1,0,1,0,Drama,118
